step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
422,353132,844,0.02141389304615265,1.0,1.0,,,,,
423,353518,846,0.023953469099700822,0.5,0.75,,,,,
424,353824,848,0.036225068583744836,0.5,0.75,,,,,
425,354306,850,0.02393579427523097,1.0,1.0,0.030202335369541998,0.5,0.75,,
426,354724,852,0.023235767263795427,1.0,1.0,,,,,
427,355846,854,0.01867052120503675,1.0,1.0,,,,,
428,356120,856,0.03446253421856562,0.5,0.75,,,,,
429,357994,858,0.014664898004761135,0.5,0.75,,,,,
430,358524,860,0.02133540464285805,1.0,1.0,,,,,
431,359070,862,0.028379742757425608,0.5,0.75,,,,,
432,359520,864,0.02292946117377142,1.0,1.0,,,,,
433,361330,866,0.02416704486682921,1.0,1.0,0.0471087667381039,0.5,0.75,,
434,361572,868,0.028931861611211696,1.0,1.0,,,,,
